_id,name,id,nametype,recclass,mass (g),fall,year,reclat,reclong,GeoLocation
659f34b2c72de7d60a6241af,Rahimyar Khan,31302,Valid,L5,67225,Fell,1983,28.225,70.2,"(28.225, 70.2)"
659f34b2c72de7d60a6241bb,Red Canyon Lake,53502,Valid,H5,18.41,Fell,2007,38.13742,-119.75812,"(38.13742, -119.75812)"
659f34b2c72de7d60a6241d5,Sabrum,22793,Valid,LL6,478,Fell,1999,23.08333,91.66667,"(23.08333, 91.66667)"
659f34b2c72de7d60a6241e0,San Michele,31315,Valid,L6,237,Fell,2002,43.66667,13.0,"(43.66667, 13.0)"
659f34b2c72de7d60a6241dd,Salzwedel,23114,Valid,LL5,43,Fell,1985,52.75,11.05,"(52.75, 11.05)"
659f34b2c72de7d60a6241e6,Santa Lucia (2008),50909,Valid,L6,4000,Fell,2008,-31.535556,-68.489444,"(-31.535556, -68.489444)"
659f34b2c72de7d60a6241ec,Sayama,23192,Valid,CM2,430,Fell,1986,35.86667,139.4,"(35.86667, 139.4)"
659f34b2c72de7d60a6241f8,Senboku,23496,Valid,H6,866,Fell,1993,39.43833,140.51167,"(39.43833, 140.51167)"
659f34b2c72de7d60a624200,Sfax,23512,Valid,L6,7000,Fell,1989,34.75,10.71667,"(34.75, 10.71667)"
659f34b2c72de7d60a62420b,Silao,23594,Valid,H5,1710,Fell,1995,20.93333,-101.38333,"(20.93333, -101.38333)"
659f34b2c72de7d60a624213,Sivas,23617,Valid,H6,40000,Fell,1989,39.82467,36.13583,"(39.82467, 36.13583)"
659f34b2c72de7d60a624214,Sixiangkou,23619,Valid,L5,630,Fell,1989,32.43333,119.86667,"(32.43333, 119.86667)"
659f34b2c72de7d60a62421b,Sołtmany,53829,Valid,L6,1066,Fell,2011,54.00883,22.005,"(54.00883, 22.005)"
659f34b2c72de7d60a62421d,Songyuan,23668,Valid,L6,36900,Fell,1993,45.25,125.0,"(45.25, 125.0)"
659f34b2c72de7d60a624237,Sulagiri,48951,Valid,LL6,110000,Fell,2008,12.66667,78.03333,"(12.66667, 78.03333)"
659f34b2c72de7d60a62422d,Sterlitamak,23724,Valid,"Iron, IIIAB",325000,Fell,1990,53.66667,55.98333,"(53.66667, 55.98333)"
659f34b2c72de7d60a62423b,Sutter's Mill,55529,Valid,C,992.5,Fell,2012,38.80389,-120.90806,"(38.80389, -120.90806)"
659f34b2c72de7d60a624235,Suizhou,23738,Valid,L6,260000,Fell,1986,31.61667,113.46667,"(31.61667, 113.46667)"
659f34b2c72de7d60a624233,St-Robert,23733,Valid,H5,25400,Fell,1994,45.96861,-72.97806,"(45.96861, -72.97806)"
659f34b2c72de7d60a62423f,Tagish Lake,23782,Valid,C2-ung,10000,Fell,2000,59.70444,-134.20139,"(59.70444, -134.20139)"
